SECTOR,NOMBRE_SECTOR,SUBSECTOR,NOMBRE_SUBSECTOR,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
31-33,Industrias manufactureras,316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",13154,149609,126.87%,53.45%,3.53,0.31,4.17,1515.78,20450.89
31-33,Industrias manufactureras,322,Industria del papel,8259,170983,248.17%,52.56%,2.3,0.47,5.24,7530.91,84381.32
48-49,"Transportes, correos y almacenamiento",488,Servicios relacionados con el transporte,7977,297550,231.61%,58.18%,2.41,0.57,5.02,12330.51,108895.85
48-49,"Transportes, correos y almacenamiento",484,Autotransporte de carga,7595,447044,150.37%,12.01%,3.2,2.63,2.17,47526.16,39213.07
23,Construcción,236,Edificación,7170,347124,203.73%,72.07%,2.63,0.33,5.04,4756.97,73161.85
43,Comercio al por mayor,433,"Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca",7115,115092,486.45%,169.12%,1.36,0.24,6.4,2806.78,76366.09
31-33,Industrias manufactureras,326,Industria del plástico y del hule,7065,458784,187.22%,47.49%,2.79,0.49,4.73,16750.6,162324.8
31-33,Industrias manufactureras,325,Industria química,6809,286099,434.42%,78.02%,1.5,0.41,6.1,19911.07,297447.06
23,Construcción,238,Trabajos especializados para la construcción,6712,95350,158.53%,51.04%,3.09,0.54,4.36,2014.61,16135.44
43,Comercio al por mayor,432,Comercio al por mayor de productos textiles y calzado,5896,47586,450.45%,165.65%,1.45,0.21,6.34,717.97,22023.61
52,Servicios financieros y de seguros,524,"Compañías de seguros, fianzas, y administración de fondos para el retiro",5088,139806,495.91%,239.22%,1.34,0.1,6.56,2281.38,155879.41
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",711,"Servicios artísticos, culturales y deportivos, y otros servicios relacionados",5088,37880,309.12%,92.62%,1.96,0.27,5.77,620.96,13208.12
48-49,"Transportes, correos y almacenamiento",485,"Transporte terrestre de pasajeros, excepto por ferrocarril",4709,287685,95.11%,6.66%,4.1,2.31,1.59,26918.06,18590.8
62,Servicios de salud y de asistencia social,623,Residencias de asistencia social y para el cuidado de la salud,3929,31570,69.56%,16.16%,4.72,0.77,2.51,392.19,1268.79
31-33,Industrias manufactureras,333,Fabricación de maquinaria y equipo,3916,233161,229.99%,73.77%,2.42,0.29,5.28,6578.16,117768.87
52,Servicios financieros y de seguros,523,"Actividades bursátiles, cambiarias y de inversión financiera",3912,19412,340.48%,197.69%,1.82,0.11,6.08,475.7,27309.3
43,Comercio al por mayor,436,"Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones",3878,60841,442.07%,91.79%,1.48,0.49,6.03,2307.71,28202.08
31-33,Industrias manufactureras,336,Fabricación de equipo de transporte,3644,1491778,442.34%,90.27%,1.48,0.31,6.21,65856.33,1312435.95
23,Construcción,237,Construcción de obras de ingeniería civil,3556,269079,261.88%,91.92%,2.21,0.25,5.54,5444.95,122229.28
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",112,Cría y explotación de animales,3321,30407,358.24%,35.22%,1.75,0.79,5.46,1103.46,7603.88
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",221,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",3139,231195,785.47%,7.88%,0.9,2.55,4.55,112903.97,201887.18
51,Información en medios masivos,517,Telecomunicaciones,3123,168337,224.48%,7.62%,2.47,2.85,2.69,66552.08,62758.15
62,Servicios de salud y de asistencia social,622,Hospitales,3090,171320,128.99%,44.14%,3.49,0.41,4.1,2748.58,27502.61
21,Minería,212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",2768,110858,720.97%,35.35%,0.97,1.25,5.77,24801.05,114066.76
