SECTOR,NOMBRE_SECTOR,SUBSECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_INFRAESTRUCTURA,HRS_PLUSVALIA_NETA,COSTO_INFRAESTRUCTURA_MDP,PLUSVALIA_NETA_MDP
48-49,"Transportes, correos y almacenamiento",488,4884,Servicios relacionados con el transporte por carretera,2260,38974,319.9%,102.33%,1.91,0.37,5.72,1333.32,20590.69
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,5617,Servicios de limpieza,2254,86045,75.73%,34.61%,4.55,0.43,3.02,941.76,6579.06
31-33,Industrias manufactureras,325,3256,"Fabricación de jabones, limpiadores y preparaciones de tocador",2221,63763,380.46%,95.62%,1.67,0.3,6.03,2553.09,50846.54
31-33,Industrias manufactureras,336,3363,Fabricación de partes para vehículos automotores,2091,1203759,224.55%,53.2%,2.46,0.45,5.09,43624.38,498488.56
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,532,5321,"Alquiler de automóviles, camiones y otros transportes terrestres",2086,28373,280.16%,58.06%,2.1,0.99,4.9,1760.26,8711.72
62,Servicios de salud y de asistencia social,622,6221,Hospitales generales,1945,134552,133.72%,48.61%,3.42,0.39,4.19,2039.28,21986.78
43,Comercio al por mayor,433,4334,"Comercio al por mayor de artículos de papelería, libros, revistas y periódicos",1938,20530,519.02%,217.03%,1.29,0.14,6.57,234.79,10812
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,5613,Servicios de empleo,1889,131085,220.1%,109.52%,2.5,0.24,5.26,1182.52,25879.91
43,Comercio al por mayor,433,4331,Comercio al por mayor de productos farmacéuticos,1870,54541,412.58%,151.93%,1.56,0.23,6.21,1306.84,35315.98
31-33,Industrias manufactureras,315,3159,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,1863,7559,133.9%,60.46%,3.42,0.29,4.29,50.89,766.58
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,5611,Servicios de administración de negocios,1788,75923,327.46%,99.24%,1.87,0.42,5.71,2168.64,29707.49
62,Servicios de salud y de asistencia social,623,6232,"Residencias para el cuidado de personas con problemas de retardo mental, trastorno mental y adicciones",1774,9521,115.73%,31.73%,3.71,0.64,3.65,65.23,370.45
48-49,"Transportes, correos y almacenamiento",485,4851,Transporte colectivo urbano y suburbano de pasajeros de ruta fija,1757,114282,123.26%,16.16%,3.58,2,2.42,9865.89,11934.05
62,Servicios de salud y de asistencia social,621,6214,Centros para la atención de pacientes que no requieren hospitalización,1694,26780,159.61%,64.83%,3.08,0.35,4.57,322.71,4169.79
31-33,Industrias manufactureras,325,3259,Fabricación de otros productos químicos,1679,30427,260.74%,58.96%,2.22,0.43,5.36,1095.09,13770.37
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,532,5323,Centros generales de alquiler,1641,5602,314.66%,47.54%,1.93,1.01,5.06,187.02,938.04
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,5619,Otros servicios de apoyo a los negocios,1638,35264,240.21%,82.09%,2.35,0.35,5.3,726.64,11077.79
48-49,"Transportes, correos y almacenamiento",492,4922,Servicios de mensajería y paquetería local,1621,9426,121.11%,54.32%,3.62,0.54,3.84,130.79,927.62
43,Comercio al por mayor,433,4332,"Comercio al por mayor de artículos de perfumería, cosméticos y joyería",1610,18299,347.2%,138.78%,1.79,0.22,5.99,280.99,7528.15
51,Información en medios masivos,516,5161,Estaciones de transmisión de programas de radio y televisión,1538,40983,659.87%,175.05%,1.05,0.21,6.74,725.8,23606.47
31-33,Industrias manufactureras,311,3112,Molienda de granos y de semillas y obtención de aceites y grasas,1512,52153,603.02%,136.53%,1.14,0.24,6.62,3265.73,88499.58
31-33,Industrias manufactureras,313,3132,Fabricación de telas,1503,51948,150.42%,30.51%,3.19,0.6,4.2,1522.91,10626.78
23,Construcción,238,2381,"Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores",1465,27712,138.47%,39.37%,3.35,0.69,3.96,555.63,3207.23
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",115,1151,Servicios relacionados con la agricultura,1342,21968,172.89%,50.43%,2.93,0.58,4.49,433.36,3367.92
31-33,Industrias manufactureras,337,3372,Fabricación de muebles de oficina y estantería,1310,29626,160.49%,31.71%,3.07,0.77,4.16,973.4,5286.26
51,Información en medios masivos,512,5121,Industria fílmica y del video,1305,39117,362.01%,147.96%,1.73,0.17,6.1,659.83,23838.74
23,Construcción,237,2371,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",1286,106677,223.72%,88.55%,2.47,0.23,5.3,1727.55,40407.01
48-49,"Transportes, correos y almacenamiento",485,4852,Transporte colectivo foráneo de pasajeros de ruta fija,1285,84445,45.94%,-2.26%,5.48,3.3,-0.78,8218.85,-1950.3
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",711,7113,"Promotores de espectáculos artísticos, culturales, deportivos y similares",1271,12137,211.92%,39.28%,2.56,0.58,4.86,365.08,3064.2
23,Construcción,238,2383,Trabajos de acabados en edificaciones,1223,9526,80.46%,38.54%,4.43,0.5,3.07,121.11,746.84
48-49,"Transportes, correos y almacenamiento",493,4931,Servicios de almacenamiento,1188,31291,267.6%,37.94%,2.18,0.81,5.01,1687.11,10387.91
31-33,Industrias manufactureras,321,3211,Aserrado y conservación de la madera,1147,10320,159.25%,42.02%,3.09,0.59,4.33,190.8,1408.67
23,Construcción,237,2372,División de terrenos y construcción de obras de urbanización,1145,35579,240.24%,45.98%,2.35,0.64,5.01,1007.89,7857.71
62,Servicios de salud y de asistencia social,622,6223,Hospitales de otras especialidades médicas,1060,35834,115.93%,32.63%,3.7,0.49,3.81,700.45,5494.56
31-33,Industrias manufactureras,336,3362,Fabricación de carrocerías y remolques,1054,42255,235.7%,63.34%,2.38,0.34,5.28,1162.16,18235.39
51,Información en medios masivos,513,5131,"Edición de periódicos, revistas, libros, directorios y otros materiales",1035,25972,120.24%,62.28%,3.63,0.21,4.15,276.35,5365.32
31-33,Industrias manufactureras,332,3328,Recubrimientos y terminados metálicos,1027,39231,296.22%,51.43%,2.02,0.51,5.47,1974.79,21292.33
31-33,Industrias manufactureras,333,3339,Fabricación de otra maquinaria y equipo para la industria en general,1022,62051,207.1%,74.48%,2.61,0.3,5.09,1658.11,28008.91
62,Servicios de salud y de asistencia social,623,6233,Asilos y otras residencias para el cuidado de ancianos,1008,12108,62.39%,17.98%,4.93,0.58,2.49,140.91,602.14
31-33,Industrias manufactureras,326,3262,Fabricación de productos de hule,991,78764,202.68%,43.67%,2.64,0.58,4.78,3939.15,32476.42
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",711,7115,"Artistas, escritores y técnicos independientes",972,2309,352.33%,61.64%,1.77,0.66,5.57,29.14,244.6
23,Construcción,237,2373,Construcción de vías de comunicación,934,61048,280.31%,41.92%,2.1,0.58,5.32,1828.21,16883.3
62,Servicios de salud y de asistencia social,623,6239,Orfanatos y otras residencias de asistencia social,930,8586,56.67%,8.12%,5.11,1.18,1.72,170.76,249.25
31-33,Industrias manufactureras,333,3332,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",926,14154,194.6%,53.14%,2.72,0.41,4.88,417.8,4984.91
31-33,Industrias manufactureras,316,3161,Curtido y acabado de cuero y piel,916,18050,208.38%,68.89%,2.59,0.31,5.09,422.82,6846.39
31-33,Industrias manufactureras,325,3254,Fabricación de productos farmacéuticos,898,88829,281.55%,60.12%,2.1,0.42,5.48,4390.54,57432.62
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",712,7121,"Museos, sitios históricos, zoológicos y similares",889,11406,120.51%,21.01%,3.63,0.85,3.52,306.2,1272.07
43,Comercio al por mayor,433,4335,Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,878,13034,688.61%,258.4%,1.01,0.13,6.85,291.14,15130.6
31-33,Industrias manufactureras,327,3272,Fabricación de vidrio y productos de vidrio,873,50378,227.92%,38.92%,2.44,0.63,4.93,3258.02,25653.09
31-33,Industrias manufactureras,337,3379,"Fabricación de colchones, persianas y cortineros",845,27575,160.68%,71.33%,3.07,0.28,4.65,479.32,7826.86
62,Servicios de salud y de asistencia social,621,6219,"Servicios de ambulancias, de bancos de órganos y otros servicios auxiliares al tratamiento médico",832,12033,92.95%,14.19%,4.15,1.38,2.48,403.64,727.66
62,Servicios de salud y de asistencia social,624,6242,"Servicios comunitarios de alimentación, refugio y emergencia",827,4439,119.77%,25.11%,3.64,0.82,3.54,51.18,220.91
31-33,Industrias manufactureras,332,3329,Fabricación de otros productos metálicos,823,69455,140.7%,42.64%,3.32,0.43,4.25,2154.69,21467.51
43,Comercio al por mayor,433,4333,"Comercio al por mayor de grabaciones de audio y video en medios físicos, juguetes y artículos deportivos",819,8688,1057.71%,134.18%,0.69,0.61,6.7,693.02,7579.35
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",562,5621,Recolección de residuos,800,27471,229.87%,53.7%,2.43,0.81,4.77,1314.06,7780.69
31-33,Industrias manufactureras,311,3111,Elaboración de alimentos balanceados para animales,800,34910,872.44%,191.02%,0.82,0.14,7.04,1263.37,64240.87
31-33,Industrias manufactureras,332,3326,"Fabricación de alambre, productos de alambre y resortes",757,20959,540.1%,111.53%,1.25,0.26,6.49,823.08,20669.55
46,Comercio al por menor,469,4691,"Intermediación de comercio al por menor, y comercio al por menor a través de catálogos impresos, televisión y similares",740,19672,235.64%,173.76%,2.38,0.08,5.53,80.19,5415.54
31-33,Industrias manufactureras,313,3133,Acabado de productos textiles y fabricación de telas recubiertas,736,18209,276.32%,103.64%,2.13,0.17,5.71,200.4,6808.28
31-33,Industrias manufactureras,332,3322,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,708,28153,469.38%,101.78%,1.41,0.24,6.35,625.94,16301.43
31-33,Industrias manufactureras,331,3312,Fabricación de productos de hierro y acero,704,64969,508.1%,67.15%,1.32,0.43,6.26,5047.28,73520.69
61,Servicios educativos,611,6114,"Escuelas comerciales, de computación y de capacitación para ejecutivos",695,5717,153.33%,87.37%,3.16,0.23,4.62,54.49,1112.84
31-33,Industrias manufactureras,325,3255,"Fabricación de pinturas, recubrimientos y adhesivos",635,25955,455.78%,113.64%,1.44,0.29,6.27,1329.26,28498.41
31-33,Industrias manufactureras,333,3334,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",632,72409,212.16%,74.73%,2.56,0.23,5.21,1483.92,33606.36
48-49,"Transportes, correos y almacenamiento",485,4855,Alquiler de autobuses con chofer,618,12472,209.42%,30.47%,2.59,1.21,4.2,766.87,2658.48
31-33,Industrias manufactureras,332,3321,Fabricación de productos metálicos forjados y troquelados,589,23158,219.21%,57.06%,2.51,0.4,5.09,756.89,9644.48
48-49,"Transportes, correos y almacenamiento",487,4872,Transporte turístico por agua,559,5814,538.92%,97.59%,1.25,0.61,6.14,315.83,3170.3
31-33,Industrias manufactureras,325,3251,Fabricación de productos químicos básicos,554,41010,601.05%,66.5%,1.14,0.55,6.31,7512.13,85842.26
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",562,5629,"Servicios de remediación, recuperación, y otros servicios de manejo de residuos",550,6861,170.71%,31.2%,2.96,1.2,3.84,346.6,1105.66
31-33,Industrias manufactureras,333,3331,"Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",549,37017,332.28%,90.07%,1.85,0.27,5.88,1243.06,26678.08
31-33,Industrias manufactureras,331,3315,Moldeo por fundición de piezas metálicas,548,33358,198.08%,34.78%,2.68,0.58,4.73,1437.73,11679.57
23,Construcción,238,2389,Otros trabajos especializados para la construcción,532,15453,206.06%,38.21%,2.61,0.66,4.73,521.81,3755.96
31-33,Industrias manufactureras,325,3253,"Fabricación de fertilizantes, plaguicidas y otros agroquímicos",517,17463,407.14%,78.96%,1.58,0.43,5.99,1172.62,16330.26
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561,5612,Servicios integrales de apoyo a los negocios en instalaciones,514,12211,202.78%,54.43%,2.64,0.86,4.49,507.38,2642.54
31-33,Industrias manufactureras,334,3344,Fabricación de componentes electrónicos,478,247502,101.82%,58.6%,3.96,0.16,3.87,2565.18,60711.65
48-49,"Transportes, correos y almacenamiento",485,4854,Transporte escolar y de personal,454,40721,131.91%,8.78%,3.45,2.71,1.84,3899.65,2652.94
48-49,"Transportes, correos y almacenamiento",492,4921,Servicios de mensajería y paquetería foránea,445,89533,107.12%,44.49%,3.86,0.64,3.5,1602.64,8792.52
31-33,Industrias manufactureras,332,3324,"Fabricación de calderas, tanques y envases metálicos",444,25769,260.36%,46.43%,2.22,0.58,5.2,1523.05,13763.54
48-49,"Transportes, correos y almacenamiento",485,4859,Otro transporte terrestre de pasajeros,433,9252,124.37%,32.42%,3.57,0.87,3.56,241.1,981.01
48-49,"Transportes, correos y almacenamiento",488,4889,Otros servicios relacionados con el transporte,417,3540,363.25%,10.83%,1.73,2.81,3.46,645.01,792.96
61,Servicios educativos,611,6112,Escuelas de educación técnica superior,407,4590,85.27%,34.59%,4.32,0.4,3.28,40.12,324.65
31-33,Industrias manufactureras,335,3353,Fabricación de equipo de generación y distribución de energía eléctrica,394,94575,231.93%,92.29%,2.41,0.22,5.37,1959.23,48047.9
51,Información en medios masivos,519,5192,"Bibliotecas, archivos, portales de búsqueda en la red y otros servicios de suministro de información",379,1919,378.57%,147.43%,1.67,0.22,6.11,20.98,574.28
31-33,Industrias manufactureras,333,3333,Fabricación de maquinaria y equipo para el comercio y los servicios,376,,,,,,,,
31-33,Industrias manufactureras,335,3359,Fabricación de otros equipos y accesorios eléctricos,357,89351,280.98%,102.69%,2.1,0.21,5.69,2072.84,56069.36
31-33,Industrias manufactureras,333,3335,Fabricación de maquinaria y equipo para la industria metalmecánica,348,14666,312.66%,84.36%,1.94,0.38,5.69,573.75,8682.44
55,Dirección y administración de grupos empresariales o corporativos,551,5511,Dirección y administración de grupos empresariales o corporativos,339,124595,614.89%,321.04%,1.12,0.07,6.81,4984.51,488901.58
31-33,Industrias manufactureras,324,3241,Fabricación de productos derivados del petróleo y del carbón,318,37219,376.62%,33.79%,1.68,1.3,5.02,17782.24,68706.86
51,Información en medios masivos,517,5173,Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,310,149837,226.7%,7.26%,2.45,2.93,2.62,66292,59464.86
48-49,"Transportes, correos y almacenamiento",488,4883,Servicios relacionados con el transporte por agua,309,21967,402.85%,98.54%,1.59,0.36,6.05,1163.32,19405.82
48-49,"Transportes, correos y almacenamiento",488,4881,Servicios relacionados con el transporte aéreo,309,30706,202.41%,69.19%,2.65,0.39,4.96,1088.01,13667.71
31-33,Industrias manufactureras,325,3252,"Fabricación de resinas y hules sintéticos, y fibras químicas",305,18652,934.98%,130.23%,0.77,0.29,6.94,1858.34,44726.6
54,"Servicios profesionales, científicos y técnicos",541,5417,Servicios de investigación científica y desarrollo,297,10673,171.23%,113.31%,2.95,0.14,4.91,46.35,1663.86
31-33,Industrias manufactureras,322,3221,"Fabricación de pulpa, papel y cartón",293,6735,390.35%,74.34%,1.63,0.31,6.06,331.72,6571.28
62,Servicios de salud y de asistencia social,621,6216,Servicios de enfermería a domicilio,278,1239,18.4%,9.09%,6.76,0.22,1.02,9.03,41.88
48-49,"Transportes, correos y almacenamiento",487,4871,Transporte turístico por tierra,271,5315,207.21%,31.25%,2.6,1.38,4.02,344.48,1002.16
31-33,Industrias manufactureras,332,3325,Fabricación de herrajes y cerraduras,259,18628,142.7%,55.48%,3.3,0.29,4.41,357.72,5374.99
31-33,Industrias manufactureras,335,3351,Fabricación de accesorios de iluminación,257,21281,79.01%,41.6%,4.47,0.21,3.32,193.13,3114.91
21,Minería,212,2122,Minería de minerales metálicos,253,77355,888.06%,42.33%,0.81,1.05,6.14,18718.24,109882.53
51,Información en medios masivos,512,5122,Industria del sonido,232,1487,347.22%,135.1%,1.79,0.31,5.9,25.94,495.6
48-49,"Transportes, correos y almacenamiento",483,4832,Transporte por aguas interiores,222,1375,429.1%,72.87%,1.51,0.63,5.86,50.91,476.22
62,Servicios de salud y de asistencia social,623,6231,"Residencias con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",217,1355,78.45%,17.75%,4.48,0.86,2.65,15.31,46.95
31-33,Industrias manufactureras,335,3352,Fabricación de aparatos eléctricos de uso doméstico,214,73144,314.6%,95.72%,1.93,0.2,5.87,1592.47,46204.44
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",221,2211,"Generación, transmisión, distribución y comercialización de energía eléctrica",203,20072,14559.96%,23.07%,0.05,1.18,6.77,27458.13,158171.69
31-33,Industrias manufactureras,311,3117,Preparación y envasado de pescados y mariscos,200,16854,188.92%,38.52%,2.77,0.61,4.62,684.89,5224.49
52,Servicios financieros y de seguros,524,5241,Compañías de seguros y fianzas,195,524,191.69%,54.35%,2.74,0.73,4.52,18.46,113.76
23,Construcción,237,2379,Otras construcciones de ingeniería civil,191,64115,298.19%,192.96%,2.01,0.09,5.9,835.75,56811.44
43,Comercio al por mayor,437,4373,Intermediación de comercio al por mayor,190,5089,199.27%,78.87%,2.67,0.64,4.69,120.32,879.17
31-33,Industrias manufactureras,321,3212,Fabricación de laminados y aglutinados de madera,175,5235,173.0%,26.73%,2.93,0.86,4.21,293.14,1429.47
31-33,Industrias manufactureras,334,3345,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",168,30410,157.36%,63.58%,3.11,0.24,4.66,503.54,9943.67
48-49,"Transportes, correos y almacenamiento",485,4853,Servicio de taxis y limusinas,162,4211,94.35%,18.51%,4.12,1.3,2.58,180.41,357.75
51,Información en medios masivos,516,5162,"Servicios de distribución de audio y video en tiempo real (streaming), redes sociales, cadenas de radio y televisión y otros proveedores de contenido",160,3176,92.98%,43.54%,4.15,0.35,3.5,40.92,405.02
31-33,Industrias manufactureras,331,3313,Industria básica del aluminio,159,20540,415.96%,65.59%,1.55,0.53,5.92,1521.91,17122.11
21,Minería,213,2131,Servicios relacionados con la minería,158,20957,442.07%,46.06%,1.48,1.24,5.28,3058.64,13035.95
31-33,Industrias manufactureras,331,3314,"Industrias de metales no ferrosos, excepto aluminio",154,13852,1562.51%,149.09%,0.48,0.2,7.32,1422.97,52914.81
31-33,Industrias manufactureras,336,3369,Fabricación de otro equipo de transporte,149,29098,120.96%,51.25%,3.62,0.33,4.05,614.37,7584.73
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",115,1152,Servicios relacionados con la cría y explotación de animales,146,1161,430.92%,113.1%,1.51,0.35,6.14,28.67,499.31
