SECTOR,NOMBRE_SECTOR,RAMA,NOMBRE_RAMA,ESTABLECIMIENTOS,PERSONAL_OCUPADO,PLUSVALIA_NETA_MDP,TASA_EXPLOTACION,TASA_GANANCIA_NETA,HRS_PARA_SALARIO,HRS_PARA_GASTOS_E_IMPUESTOS,HRS_PLUSVALIA_PURA
48-49,"Transportes, correos y almacenamiento",4872,Transporte turístico por agua,1118,11628,6378.53,493.03%,53.39%,0.79,3.32,3.89
48-49,"Transportes, correos y almacenamiento",4855,Alquiler de autobuses con chofer,1236,24944,6366.55,194.62%,26.75%,1.64,3.18,3.19
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7113,"Promotores de espectáculos artísticos, culturales, deportivos y similares",2542,24274,6223.66,192.3%,21.21%,1.12,4.74,2.15
31-33,Industrias manufactureras,3342,Fabricación de equipo de comunicación,202,47326,6096.68,54.9%,18.63%,2.97,3.41,1.63
31-33,Industrias manufactureras,3351,Fabricación de accesorios de iluminación,514,42562,5982.77,71.45%,18.85%,2.15,4.31,1.54
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5612,Servicios integrales de apoyo a los negocios en instalaciones,1028,24422,5746.92,184.98%,32.25%,1.47,3.82,2.71
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",2212,Suministro de gas natural por ductos al consumidor final,28,3650,5545.01,647.89%,6.96%,0.12,7.12,0.76
46,Comercio al por menor,4664,Comercio al por menor de artículos usados,113334,158490,5378.88,314.79%,24.12%,0.67,5.22,2.11
51,Información en medios masivos,5179,Otros servicios de telecomunicaciones,5444,32474,5198.77,144.39%,29.06%,1.49,4.36,2.15
48-49,"Transportes, correos y almacenamiento",4812,Transporte aéreo no regular,154,7202,5189.6,378.23%,23.55%,0.51,5.57,1.92
31-33,Industrias manufactureras,3366,Fabricación de embarcaciones,190,18644,5173.7,117.75%,24.07%,1.61,4.5,1.89
48-49,"Transportes, correos y almacenamiento",4831,Transporte marítimo,90,4448,4502.2,510.88%,24.63%,0.79,3.17,4.04
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5622,Tratamiento y disposición final de residuos,250,6964,3709.91,353.73%,30.12%,0.77,4.5,2.73
52,Servicios financieros y de seguros,5223,Uniones de crédito e instituciones de ahorro,9102,89586,3468.95,19.87%,2.65%,1.44,6.28,0.29
54,"Servicios profesionales, científicos y técnicos",5417,Servicios de investigación científica y desarrollo,594,21346,3394.91,169.95%,57.69%,1.92,2.83,3.26
48-49,"Transportes, correos y almacenamiento",4882,Servicios relacionados con el transporte por ferrocarril,76,3350,2986.6,477.29%,83.59%,0.98,2.35,4.67
31-33,Industrias manufactureras,3212,Fabricación de laminados y aglutinados de madera,350,10470,2984.43,149.86%,14.14%,1.04,5.41,1.55
31-33,Industrias manufactureras,3211,Aserrado y conservación de la madera,2294,20640,2959.42,147.33%,19.3%,1.18,5.08,1.74
81,Otros servicios excepto actividades gubernamentales,8129,Servicios de revelado e impresión de fotografías y otros servicios personales,15272,32880,2883.22,244.88%,38.17%,1.31,3.47,3.22
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7121,"Museos, sitios históricos, zoológicos y similares",1778,22812,2848,108.73%,17.27%,2.13,3.56,2.31
31-33,Industrias manufactureras,3169,"Fabricación de otros productos de cuero, piel y materiales sucedáneos",6230,28268,2729.25,118.1%,25.95%,1.68,4.34,1.98
48-49,"Transportes, correos y almacenamiento",4889,Otros servicios relacionados con el transporte,834,7080,2668.31,337.03%,16.28%,1.22,2.68,4.1
51,Información en medios masivos,5132,Edición de software,166,26614,2499.42,85.04%,33.46%,2.58,3.23,2.19
72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,7213,"Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",6872,23896,2498.28,158.42%,11.56%,1.76,3.45,2.79
31-33,Industrias manufactureras,3346,Fabricación y reproducción de medios magnéticos y ópticos,26,12018,2443.12,76.61%,10.58%,1.78,4.85,1.37
48-49,"Transportes, correos y almacenamiento",4871,Transporte turístico por tierra,542,10630,2359,181.49%,26.86%,1.72,3.14,3.13
48-49,"Transportes, correos y almacenamiento",4859,Otro transporte terrestre de pasajeros,866,18504,2350.62,119.61%,25.76%,2.13,3.33,2.55
56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5629,"Servicios de remediación, recuperación, y otros servicios de manejo de residuos",1100,13722,2336.7,137.34%,13.77%,0.98,5.68,1.34
62,Servicios de salud y de asistencia social,6219,"Servicios de ambulancias, de bancos de órganos y otros servicios auxiliares al tratamiento médico",1664,24066,2136.52,87.77%,16.32%,2.63,3.06,2.31
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,5323,Centros generales de alquiler,3282,11204,2128.26,297.62%,33.49%,1.09,3.67,3.24
61,Servicios educativos,6114,"Escuelas comerciales, de computación y de capacitación para ejecutivos",1390,11434,2084.73,136.91%,47.79%,2.25,2.68,3.08
48-49,"Transportes, correos y almacenamiento",4922,Servicios de mensajería y paquetería local,3242,18852,2050.32,117.3%,33.92%,2.18,3.27,2.55
43,Comercio al por mayor,4373,Intermediación de comercio al por mayor,380,10178,1844.62,183.88%,37.21%,1.44,3.91,2.65
53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,5331,"Servicios de alquiler de marcas registradas, patentes y franquicias",108,1442,1757.73,885.95%,66.99%,0.48,3.22,4.29
61,Servicios educativos,6115,Escuelas de oficios,6288,26144,1706.14,82.96%,27.62%,2.87,2.74,2.38
23,Construcción,2383,Trabajos de acabados en edificaciones,2446,19052,1584.03,73.42%,16.19%,1.79,4.9,1.31
31-33,Industrias manufactureras,3159,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,3726,15118,1468.52,120.27%,21.67%,1.41,4.9,1.7
62,Servicios de salud y de asistencia social,6233,Asilos y otras residencias para el cuidado de ancianos,2016,24216,1421.54,59.68%,15.68%,3.09,3.07,1.84
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7111,Compañías y grupos de espectáculos artísticos y culturales,5358,33708,1262.55,170.9%,31.51%,1.83,3.04,3.13
62,Servicios de salud y de asistencia social,6241,Servicios de orientación y trabajo social,37548,151334,1186.9,96.8%,15.33%,1.94,4.18,1.88
51,Información en medios masivos,5192,"Bibliotecas, archivos, portales de búsqueda en la red y otros servicios de suministro de información",758,3838,1069.99,340.25%,43.61%,0.82,4.38,2.8
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",1152,Servicios relacionados con la cría y explotación de animales,292,2322,1020.73,416.54%,66.34%,1.02,2.73,4.25
48-49,"Transportes, correos y almacenamiento",4832,Transporte por aguas interiores,444,2750,935.85,380.91%,43.44%,0.97,3.34,3.69
48-49,"Transportes, correos y almacenamiento",4853,Servicio de taxis y limusinas,324,8422,884.9,77.57%,14.23%,2.08,4.3,1.62
62,Servicios de salud y de asistencia social,6232,"Residencias para el cuidado de personas con problemas de retardo mental, trastorno mental y adicciones",3548,19042,860.91,114.34%,24.95%,2.21,3.27,2.52
51,Información en medios masivos,5122,Industria del sonido,464,2974,854.21,284.35%,39.64%,0.93,4.41,2.65
51,Información en medios masivos,5162,"Servicios de distribución de audio y video en tiempo real (streaming), redes sociales, cadenas de radio y televisión y otros proveedores de contenido",320,6352,831.33,86.66%,26.12%,2.46,3.4,2.14
62,Servicios de salud y de asistencia social,6239,Orfanatos y otras residencias de asistencia social,1860,17172,779.8,52.61%,10.08%,3.07,3.31,1.62
61,Servicios educativos,6117,Servicios de apoyo a la educación,138,2040,777.08,365.44%,49.47%,1.24,2.24,4.53
