SECTOR,NOMBRE_SECTOR,SUBSECTOR,NOMBRE_SUBSECTOR,ESTABLECIMIENTOS,PERSONAL_OCUPADO,PLUSVALIA_TOTAL_MDP,TASA_EXPLOTACION,TASA_GANANCIA,HORAS_PARA_EL_TRABAJADOR,HORAS_REGALADAS_AL_PATRON,DEPRECIACION_INFRAESTRUCTURA_MDP
48-49,"Transportes, correos y almacenamiento",488,Servicios relacionados con el transporte,7977,297550,121226.36,231.61%,64.77%,2.41,5.59,12330.51
48-49,"Transportes, correos y almacenamiento",484,Autotransporte de carga,7595,447044,86739.23,150.37%,26.58%,3.2,4.8,47526.16
23,Construcción,236,Edificación,7170,347124,77918.82,203.73%,76.75%,2.63,5.37,4756.97
43,Comercio al por mayor,433,"Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca",7115,115092,79172.87,486.45%,175.34%,1.36,6.64,2806.78
31-33,Industrias manufactureras,326,Industria del plástico y del hule,7065,458784,179075.4,187.22%,52.4%,2.79,5.21,16750.6
31-33,Industrias manufactureras,325,Industria química,6809,286099,317358.13,434.42%,83.24%,1.5,6.5,19911.07
23,Construcción,238,Trabajos especializados para la construcción,6712,95350,18150.06,158.53%,57.42%,3.09,4.91,2014.61
43,Comercio al por mayor,432,Comercio al por mayor de productos textiles y calzado,5896,47586,22741.58,450.45%,171.05%,1.45,6.55,717.97
52,Servicios financieros y de seguros,524,"Compañías de seguros, fianzas, y administración de fondos para el retiro",5088,139806,158160.79,495.91%,242.72%,1.34,6.66,2281.38
71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",711,"Servicios artísticos, culturales y deportivos, y otros servicios relacionados",5088,37880,13829.08,309.12%,96.97%,1.96,6.04,620.96
48-49,"Transportes, correos y almacenamiento",485,"Transporte terrestre de pasajeros, excepto por ferrocarril",4709,287685,45508.85,95.11%,16.31%,4.1,3.9,26918.06
62,Servicios de salud y de asistencia social,623,Residencias de asistencia social y para el cuidado de la salud,3929,31570,1660.98,69.56%,21.16%,4.72,3.28,392.19
31-33,Industrias manufactureras,333,Fabricación de maquinaria y equipo,3916,233161,124347.02,229.99%,77.89%,2.42,5.58,6578.16
52,Servicios financieros y de seguros,523,"Actividades bursátiles, cambiarias y de inversión financiera",3912,19412,27784.99,340.48%,201.13%,1.82,6.18,475.7
43,Comercio al por mayor,436,"Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones",3878,60841,30509.8,442.07%,99.31%,1.48,6.52,2307.71
31-33,Industrias manufactureras,336,Fabricación de equipo de transporte,3644,1491778,1378292.28,442.34%,94.8%,1.48,6.52,65856.33
23,Construcción,237,Construcción de obras de ingeniería civil,3556,269079,127674.23,261.88%,96.02%,2.21,5.79,5444.95
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",112,Cría y explotación de animales,3321,30407,8707.34,358.24%,40.33%,1.75,6.25,1103.46
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",221,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",3139,231195,314791.15,785.47%,12.28%,0.9,7.1,112903.97
51,Información en medios masivos,517,Telecomunicaciones,3123,168337,129310.23,224.48%,15.71%,2.47,5.53,66552.08
62,Servicios de salud y de asistencia social,622,Hospitales,3090,171320,30251.19,128.99%,48.55%,3.49,4.51,2748.58
21,Minería,212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",2768,110858,138867.81,720.97%,43.04%,0.97,7.03,24801.05
48-49,"Transportes, correos y almacenamiento",492,Servicios de mensajería y paquetería,2066,98959,11453.57,108.27%,53.34%,3.84,4.16,1733.43
51,Información en medios masivos,516,Radio y televisión y provisión de contenido,1698,44159,24778.21,594.62%,171.88%,1.15,6.85,766.72
31-33,Industrias manufactureras,331,Industrias metálicas básicas,1605,149031,223129.88,614.92%,66.41%,1.12,6.88,15626.23
51,Información en medios masivos,512,"Industria fílmica y del video, e industria del sonido",1537,40604,25020.1,361.69%,151.83%,1.73,6.27,685.77
11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza (Solo Pesca y Acuicultura)",115,Servicios relacionados con las actividades agropecuarias y forestales,1511,23314,4341.56,185.95%,60.75%,2.8,5.2,463.86
